Cluster 1	AT1G50010.1
Cluster 1	AT3G48890.1
Cluster 1	ATCG00710.1
Cluster 1	AT3G29075.1
Cluster 1	AT1G01960.1
Cluster 1	AT3G16830.1
Cluster 1	AT1G35580.2
Cluster 1	AT3G14100.1
Cluster 1	AT1G80350.1
Cluster 2	AT5G13010.1
Cluster 2	AT4G20400.1
Cluster 2	AT1G54450.1
Cluster 2	AT3G53390.1
Cluster 2	AT2G03890.1
Cluster 2	AT4G32180.1
Cluster 2	AT5G02850.1
Cluster 2	AT5G67280.1
Cluster 2	AT2G19330.1
Cluster 2	AT5G57610.1
Cluster 2	AT4G13350.2
Cluster 2	AT5G21010.1
Cluster 2	AT2G33990.1
Cluster 2	AT4G06634.1
Cluster 2	AT3G05900.1
Cluster 2	AT2G46610.1
Cluster 2	AT3G13224.2
Cluster 2	AT1G37130.1
Cluster 2	AT1G42470.1
Cluster 2	AT2G17980.1
Cluster 2	AT4G03250.1
Cluster 2	AT1G79530.1
Cluster 2	AT3G61130.1
Cluster 2	AT4G28080.1
Cluster 2	AT5G55660.1
Cluster 2	AT5G20890.1
Cluster 2	AT3G55980.1
Cluster 2	AT3G56690.1
Cluster 2	AT3G10540.1
Cluster 2	AT3G06010.1
Cluster 2	AT1G03590.1
Cluster 2	AT3G59550.1
Cluster 2	AT2G40000.1
Cluster 2	AT5G12400.1
Cluster 2	AT3G63000.1
Cluster 2	AT5G62190.1
Cluster 2	AT3G57610.1
Cluster 2	AT1G12930.1
Cluster 2	AT4G38630.1
Cluster 2	AT5G40740.1
Cluster 2	AT2G26430.1
Cluster 2	AT1G12000.1
Cluster 2	AT3G61110.1
Cluster 2	AT2G18960.1
Cluster 2	AT3G25840.1
Cluster 2	AT1G06550.1
Cluster 2	AT4G10760.1
Cluster 2	AT3G12710.1
Cluster 2	AT3G48425.1
Cluster 2	AT3G50670.1
Cluster 2	AT5G20170.1
Cluster 2	AT2G26460.1
Cluster 2	AT2G35630.1
Cluster 2	AT5G20635.1
Cluster 2	AT3G18260.1
Cluster 2	AT3G02220.1
Cluster 2	AT1G14510.1
Cluster 2	AT3G63070.1
Cluster 2	AT5G23720.1
Cluster 2	AT3G05070.1
Cluster 2	AT5G06660.1
Cluster 2	AT5G37830.1
Cluster 2	AT5G52640.1
Cluster 2	AT5G63860.1
Cluster 2	AT3G09740.1
Cluster 2	AT1G70940.1
Cluster 2	AT1G15940.1
Cluster 2	AT5G24890.1
Cluster 2	AT2G28390.1
Cluster 2	AT3G51120.1
Cluster 2	AT5G58880.1
Cluster 2	AT2G36910.1
Cluster 2	AT5G06910.1
Cluster 2	AT2G19520.1
Cluster 2	AT2G34680.1
Cluster 2	AT5G45400.1
Cluster 2	AT3G55270.1
Cluster 2	AT1G09520.1
Cluster 2	AT3G08850.1
Cluster 2	AT5G42920.2
Cluster 2	AT4G24620.1
Cluster 2	AT1G49040.1
