Cluster 2	AT1G27430.1
Cluster 2	AT2G01980.1
Cluster 2	AT2G44200.1
Cluster 2	AT4G18710.1
Cluster 2	AT3G61430.2
Cluster 2	AT3G63130.2
Cluster 2	AT5G54270.1
Cluster 2	AT3G07880.1
Cluster 2	AT2G45140.1
Cluster 2	AT1G12840.1
Cluster 2	AT3G01310.1
Cluster 2	AT5G06910.1
Cluster 2	AT2G05940.1
Cluster 2	AT1G76260.1
Cluster 2	AT5G47210.1
Cluster 2	AT4G33400.1
Cluster 2	AT3G25070.1
Cluster 2	AT1G73670.1
Cluster 2	AT4G15560.1
Cluster 2	ATCG00490.1
Cluster 2	AT1G76360.1
Cluster 2	AT5G58430.1
Cluster 2	AT3G55980.1
Cluster 2	AT4G15410.1
Cluster 2	AT5G64270.1
Cluster 2	AT5G04990.1
Cluster 2	AT4G29220.1
Cluster 2	AT5G35910.1
Cluster 2	AT5G03280.1
Cluster 2	AT1G13210.1
Cluster 2	AT1G20760.1
Cluster 2	AT1G30540.1
Cluster 2	AT5G57870.1
Cluster 2	AT1G77180.2
Cluster 2	AT5G08280.1
Cluster 2	AT3G25610.1
Cluster 2	ATCG00560.1
Cluster 2	AT4G08350.1
Cluster 2	AT4G06634.1
Cluster 2	AT1G49970.1
Cluster 2	AT2G34680.1
Cluster 2	AT4G31700.1
Cluster 2	AT5G04870.1
Cluster 2	AT5G56760.1
Cluster 2	AT3G57220.1
Cluster 2	AT2G41620.1
Cluster 2	AT5G13760.1
Cluster 2	AT5G42950.1
Cluster 2	AT3G01400.1
Cluster 2	AT2G37050.3
Cluster 2	AT3G16000.1
Cluster 2	AT3G20550.1
Cluster 2	AT3G28050.1
Cluster 2	AT3G15220.1
Cluster 2	AT2G47980.1
Cluster 2	AT1G31870.2
Cluster 2	AT5G04510.1
Cluster 2	AT1G30630.1
Cluster 2	AT3G48710.1
Cluster 2	AT2G27660.1
Cluster 2	AT4G26760.1
Cluster 2	AT5G63860.1
Cluster 2	AT5G52310.1
Cluster 2	AT4G28610.1
Cluster 2	AT5G54310.1
Cluster 2	AT1G19870.1
Cluster 2	AT3G23920.1
Cluster 2	AT3G10540.1
Cluster 2	AT5G26210.1
Cluster 2	AT1G18740.1
Cluster 2	AT5G10470.2
Cluster 2	AT3G53030.1
Cluster 2	AT4G39330.1
Cluster 2	AT3G61130.1
Cluster 2	AT3G26400.1
Cluster 2	AT5G56670.1
Cluster 2	AT1G62020.1
Cluster 2	AT5G46840.1
Cluster 2	AT2G23070.1
Cluster 2	AT4G25730.1
Cluster 2	AT5G64200.2
Cluster 2	AT3G46780.1
Cluster 2	AT2G36060.2
Cluster 2	AT4G08480.1
Cluster 2	AT3G15450.1
Cluster 2	AT5G63310.1
Cluster 2	AT4G24520.1
Cluster 2	AT5G53060.1
Cluster 2	AT4G25970.1
Cluster 2	AT3G26740.1
Cluster 2	AT1G74720.1
Cluster 2	AT4G13510.1
Cluster 2	AT1G52780.1
Cluster 2	AT3G48190.1
Cluster 2	AT1G62600.1
Cluster 2	AT1G72790.1
Cluster 2	AT1G19450.1
Cluster 2	AT1G18170.1
Cluster 2	AT3G51120.1
Cluster 2	AT5G47820.2
Cluster 2	AT1G64370.1
Cluster 2	AT1G21380.1
Cluster 2	AT2G45710.1
Cluster 2	AT1G17210.1
Cluster 2	AT5G46210.1
Cluster 2	AT4G13350.2
Cluster 2	AT1G59900.1
Cluster 2	AT2G27140.1
Cluster 2	AT5G20280.1
Cluster 2	AT1G12930.1
Cluster 2	AT5G09250.1
Cluster 2	AT3G58560.1
Cluster 2	AT1G75220.1
Cluster 2	ATCG00480.1
Cluster 2	AT4G00752.1
