PHOS_LOGFC0	PHOS_LOGFC1	PHOS_LOGFC2	PHOS_LOGFC3	ID	SAMPLE
-0.07405639678636122	-1.0341296011422043	0.7327464673615667	-0.4482363561218652	AT5G16910.1	1
-0.6578633877235729	-0.5148519407932164	1.01058725634522	-0.5925706437388751	AT5G16910.1	2
0.0	0.0	0.0	0.0	AT5G16910.1	3
0.1743070066263141	-1.175916327656928	0.857862209353947	-0.43135430695706156	AT5G17420.1	1
0.14743280053512528	-0.08811272015559529	-0.2386845444180451	0.21204179164866552	AT5G17980.1	1
0.14562679603250997	-0.16390355321377098	-0.07484406956683422	-0.08558317743907382	AT5G17980.1	2
-0.08463404989481928	-0.9040962578567137	0.7741880581224048	-0.0012131984240276788	AT5G19010.1	1
0.0	0.0	0.0	0.0	AT5G19310.1	1
0.0	0.0	0.0	0.0	AT5G19310.1	2
0.15864644904553155	-0.6936862733098818	0.626432019283129	-0.1906679069848391	AT5G19390.2	1
-0.03290004967473922	-0.7509354373784615	0.5847060535155305	-0.16389518678214482	AT5G19390.2	2
-0.06712515454808451	-0.9193149789469947	0.5821327910972653	-0.29918196374381684	AT5G19390.2	3
0.06466608285114188	-0.46777738444664485	0.4775458858375108	-0.0960864958080216	AT5G19450.2	1
-0.15697530076787888	-0.5565352525288099	0.6234533046583655	0.1211074847893452	AT5G20170.1	1
-0.11974072384371025	-0.6186232471928625	0.4669266388531044	-0.14187010927815874	AT5G20280.1	1
0.378719435904983	-0.6693977831779991	0.1642976304962017	0.1061310938981037	AT5G20280.1	2
-0.2227860813474553	-0.7055473415520446	0.5323286128131176	-0.1252342797277554	AT5G20280.1	3
-0.29922978954695073	-0.8390650108118172	0.5697785397860313	-0.15238826643150483	AT5G20280.1	4
0.0	0.0	0.0	0.0	AT5G20280.1	5
0.21679296005191634	-0.6106696961478058	0.5787714133909281	-0.43301866390664484	AT5G20280.1	6
0.0	0.0	0.0	0.0	AT5G20290.1	1
0.3740932768842831	0.3839348398687611	-0.17291958687635203	0.21893143144928653	AT5G20350.1	1
0.06239002990698595	-0.6135421912693519	0.47670180890226027	0.10100259102050772	AT5G20350.1	2
0.0	0.0	0.0	0.0	AT5G20490.1	1
0.30731701376334664	-0.3613772094451367	0.4966460554093516	-0.08886787426444094	AT5G20490.1	2
0.035249323387014905	-0.21991495136259587	0.19862818848837088	0.11154990892784451	AT5G20490.1	3
-0.06448270038947543	0.6775204161759187	-0.5585567329375319	0.36334840546798425	AT5G20890.1	1
0.4167056016644499	-2.284273465060091	1.7211663171747635	-0.14150158780283464	AT5G20900.1	1
0.04130208129199065	-0.4374298788174181	0.34294641956214134	-0.1737626242383801	AT5G20990.1	1
