LFC_0-1	LFC_1-2	LFC_2-3	LFC_3-4	PID
-0.1211952809873266	0.2081453569158418	-0.18050758676454945	0.16189830663632282	AT1G63460.1
-0.03878876760492486	-0.7866807555909523	0.6246505730260308	-0.2207681011292642	AT1G63660.1
0.15192881059205873	-0.3289811357575877	0.1946307357197257	0.07561057836427848	AT1G63710.1
-0.10399268737872444	-0.6228721889158368	0.46090049554114065	-0.1944657998523106	AT1G63780.1
0.21368655014676932	0.058776494095934294	-0.19724297291275747	0.060020701068955885	AT1G63800.1
-0.04389671646915855	-0.4717930252172018	0.5028856322069197	-7.927303898152704	AT1G63930.1
0.26643244002160066	-0.23695234666367002	0.24989369213688925	-0.08501585227696709	AT1G63970.1
-0.5656314355099956	-0.9828187841901777	0.4106366980136074	-0.12847646431693915	AT1G64030.1
-0.48541604956937456	-0.6626884151834809	0.5430861223330183	-0.22947506292288888	AT1G64040.1
-0.10270191514605856	0.33185123826504015	-0.25957255731010137	-0.03167767762469313	AT1G64080.1
0.0	0.0	0.0	0.0	AT1G64150.1
-0.19455950556510954	0.319926020623226	-0.21982387598744552	0.22198755648215365	AT1G64160.1
0.34004830274406456	0.7218243856339049	-0.4277741376334885	0.4061425314754306	AT1G64190.1
0.051411166209679504	-0.4891683734968801	0.1634802022965584	-0.2380593152939152	AT1G64350.1
0.5084751584198599	1.2609787060581452	-1.0688645472519605	0.760828684807061	AT1G64355.1
0.013695679296596335	-0.4406476945922707	0.42858117330742795	0.02830926400464997	AT1G64370.1
0.04645534412298478	-0.5907974286423193	0.43979645241068915	-0.16894934299836603	AT1G64440.1
0.3651508203496908	-0.45505728508330506	0.4681667162858668	-0.095756000119344	AT1G64510.1
-0.02853903853292723	0.8056975731204234	-0.6515568887692004	0.40696787668862355	AT1G64520.1
-0.09220662456109922	-0.36300121267578006	0.2493449177592687	-0.07959902727405085	AT1G64550.1
-0.3629190608600808	-0.34758864796850725	0.3645791085187161	-0.22597419836775126	AT1G64600.1
0.021089533517863978	-0.5662684596367555	0.28798702555719147	-0.12009559226550443	AT1G64660.1
0.7793938371696556	0.8422224164939017	-0.6505776324330192	0.422047815109663	AT1G64710.1
0.033968504724443876	-0.8798780315028398	0.6945098553306686	-0.28759914619843163	AT1G64740.1
0.004568860724775153	-0.3478315038562865	0.27293444509079884	-0.10606059774792574	AT1G64840.1
-0.060706007748926254	-0.5854720797443307	0.4174402452507099	-0.1221806321080952	AT1G64880.1
0.06746768185219623	-0.7219592924791927	0.5579420140654683	-0.04110484460482022	AT1G64960.1
-0.20238756267596036	-0.5462959332682821	0.2948968609832363	0.02316386278194597	AT1G64970.1
0.0	0.0	0.0	0.0	AT1G64990.2
-0.26448484783228143	-1.3101546409980505	0.924933131734173	-0.36401456658883274	AT1G65030.1
-0.8677407856489909	-1.4337938507109353	0.7127983636873952	-0.44566962302768676	AT1G65060.1
0.0889126837768376	-1.0835060572451842	0.8748829042092429	-0.28300525038193736	AT1G65240.1
0.08249611212157731	-0.47154855719691413	0.32793689340785076	-0.14218936511040228	AT1G65270.3
-0.22628415736056692	1.0238762734338904	-0.8741654006358134	0.49238604058904506	AT1G65290.1
-0.1068700983183064	-0.7357032096252059	0.3713353323110069	-0.03899969943778262	AT1G65320.1
-0.1799237432851012	0.42413845359370994	-0.31472126852883164	0.2664156038126617	AT1G65410.1
0.06868551853419694	-0.4349275139781968	0.30318394385885006	-0.0470548112923523	AT1G65430.1
0.4883841264978758	-0.5396839512184193	0.029617514031791317	0.060559417360058966	AT1G65450.1
-0.25118107940934736	-0.8226310533406656	0.4732194074710557	-0.28631576173114465	AT1G65480.1
-0.16072802576299047	0.5797283197425076	-0.5809332173029487	0.16149278344335732	AT1G65520.1
0.11424695112972982	-0.0981946018938996	-0.014769665518197528	0.06818212632442877	AT1G65590.1
-0.1119216479805465	0.02468836575845792	0.17258432483944833	0.08410147044542624	AT1G65650.1
0.09563464269915228	-0.3394902560508673	0.2324007702978707	-0.0827304306610671	AT1G65660.1
-0.1584647034534844	-0.42241911837419605	0.34450015308348303	-0.07013140794776059	AT1G65840.1
-0.10903218827318736	3.270442690437084	-3.016549636659942	1.3392771513904393	AT1G65880.1
0.03330139282171302	-0.33529891523999206	0.22133930355238843	-0.1233440456702857	AT1G65930.1
0.32182744697018617	-0.6801794685921237	0.23785808769217381	-0.017987305809139112	AT1G65960.2
0.10455925425935973	0.00676347572742149	-0.139790584481176	0.07155167043112691	AT1G65980.1
0.06717313673517986	-1.7666056155942198	1.3667312259692042	-0.48640699393350445	AT1G66040.1
-0.139806835101736	-0.5819476271528463	0.46585367436734687	-0.09702087202264359	AT1G66070.2
-0.05862960243411126	-0.3593092589483211	0.35430710852461056	-0.14112605869000097	AT1G66080.1
0.03743957692069742	-0.7351941713885167	0.43508471968945395	-0.1971325958813708	AT1G66150.1
0.24109356026265866	0.3316265330519581	-0.5017962870222542	0.06890633775514671	AT1G66240.1
0.0899646230842188	-0.5948402605511691	0.4533869985599386	-0.09357227226220413	AT1G66260.2
0.11346804987598781	-0.28405762949274116	0.38883933951748684	0.14396767930601084	AT1G66330.2
0.11347236798693623	-0.16349873228287934	0.05663198892433674	-0.026951503992506995	AT1G66340.1
0.0	0.0	0.0	0.0	AT1G66350.1
0.7842564206870932	1.2488794282038191	-0.8827231465059531	0.4880035268134699	AT1G66430.1
0.10382777939115412	-0.3586931544071824	0.26855031345745456	-0.18080563307780162	AT1G66520.1
-0.07194774310160976	-0.1482347967723084	0.16269743022987967	0.0731225995382043	AT1G66530.1
0.05041362270130675	-0.2820503825000181	0.17467615569289277	-0.09685231798242712	AT1G66580.1
0.4011513930458442	0.08161550190488844	-0.009031856207178912	0.11681771054337109	AT1G66670.1
-0.03620113093699019	-0.5230647786543093	0.2895130779335742	-0.12180177431974404	AT1G66680.1
-0.0054200885331128065	-0.40470090509953377	0.28541747328903855	0.04631334897941068	AT1G66740.1
-0.031024324363586334	-0.4875674412884789	0.3771619908068105	-0.15318496775778506	AT1G66750.1
1.057971357386115	-0.5453549772683344	0.14989280579806344	-0.1283682987833825	AT1G67060.1
0.9731967897117066	0.568331847190297	-0.5605733941884836	0.35580540527841664	AT1G67090.1
-0.015028124153097549	-0.6971747510865365	0.5253509306542928	-0.07050447729151478	AT1G67120.1
0.13797567673710764	-0.14269379086864684	0.15773377670744315	-0.03367593854423346	AT1G67230.1
0.2821631211623809	-0.005966576121991856	-0.03684537072356038	0.0477931710348982	AT1G67280.1
-0.02919706560110666	-0.17716477569141562	-0.022724440890387013	-0.03849679567363754	AT1G67290.1
1.0076131338282293	0.526815414038794	-0.11680198286605571	0.2834391398287998	AT1G67360.2
-0.01953509126017773	-0.2794215235021899	0.21443365822418026	-0.039980252666484896	AT1G67430.1
0.01920486305614618	-0.6065613463978861	0.6011002798331555	-0.22126112874917309	AT1G67440.1
-0.04690123707963716	-0.39288980338856994	0.2579129765366274	-0.09436313788596896	AT1G67490.1
0.19466081196939086	-0.2399866352743591	0.09166420792837991	0.1049754135190424	AT1G67550.1
-0.041859152528928606	-0.5246252929370863	0.22588330354492492	0.017015602236612318	AT1G67560.1
0.026514731294306728	-0.6322651279150315	0.4208534996594457	-0.16043332071100447	AT1G67630.1
0.10689846605297341	-0.11311770067868852	0.0347499626599317	-0.024005759526266386	AT1G67680.1
0.015370740556745671	-0.10484593296420186	0.02092799975396386	0.12419432724674982	AT1G67690.1
-0.033009253634512306	0.8267152841295593	-0.7884320034756168	0.35717586956616515	AT1G67730.1
0.11169735798633895	0.22269534306957467	-0.1436774968393445	0.057334913287302766	AT1G67830.1
0.00758159835731754	0.13382048182439718	-0.023526366713262144	-0.17778107508320173	AT1G67840.1
0.13386435315868694	-0.31703562867562485	0.27559641342463226	-0.07363891257014062	AT1G67930.1
-0.1934712132339666	-0.6198789091382788	0.3957993692012524	-0.34718534490584363	AT1G67940.1
-0.1835834885074527	-0.44120238825394076	0.34859016767441187	-0.2813922766720726	AT1G68290.1
0.3859294010388569	0.12001765260913576	-0.33893375881235605	0.19184561273107312	AT1G68530.1
-0.11302132907640705	1.2573471925914024	-1.2838714188031486	0.47877019227940437	AT1G68540.1
0.4242295766795915	-0.08063118154363069	0.28599331020690033	-0.04083776573780878	AT1G68560.1
0.07222709151370599	-0.25589033125290006	0.07368463359082074	0.3155753737551966	AT1G68600.1
0.01636926001358093	-0.4025688547675963	0.1580560300292642	0.1806260947963648	AT1G68750.1
0.3912253080993193	0.27917415957055597	-0.3736313864609778	0.1516986254653687	AT1G68760.1
-0.01563696335987769	0.41400440903767344	-0.39039975888476075	0.29988247233706145	AT1G68830.1
-0.11701510104994979	3.898724402303292	-3.6914282494244413	0.22918040024188452	AT1G68850.1
0.18928586391414345	-0.36366593336817743	0.5424603372156489	-0.32835523996831284	AT1G68890.1
-0.11996290558274347	-0.8188392995718643	0.5877524427018748	-0.2443888734260771	AT1G69070.1
-0.266832834780608	-0.8016812888260358	0.6511297508162659	-0.5785627308999766	AT1G69190.1
0.4773215100356173	-0.2481458079945087	0.2961770267777109	0.0071081185212455815	AT1G69200.1
-0.03646130650815802	-0.20060462940211823	0.3999787360288006	-0.43070572259991735	AT1G69210.1
0.014663331208920057	-0.4134997596406513	0.2571735650053015	-0.07480415117488685	AT1G69220.1
-0.13617394792302717	-0.868809910499188	0.6051591960634651	-0.2612184097402176	AT1G69250.1
-0.506511536006818	0.27362813869113417	0.037760319908506625	0.30079296830645386	AT1G69370.1
0.26780057564762544	-0.12706152594511214	0.3186036481642611	-0.05331079297822713	AT1G69390.1
-0.13261345892196655	0.2792408060278416	-0.4102084897141687	-0.05570511075614971	AT1G69410.1
