Reporter.intensity.0.P_LF1	Reporter.intensity.0.P_LF2	Reporter.intensity.1.P_LF1	Reporter.intensity.1.P_LF2	Reporter.intensity.2.P_LF1	Reporter.intensity.2.P_LF2	Reporter.intensity.3.P_LF1	Reporter.intensity.3.P_LF2	Reporter.intensity.4.P_LF1	Reporter.intensity.4.P_LF2	Reporter.intensity.5.P_LF1	Reporter.intensity.5.P_LF2	Reporter.intensity.6.P_LF1	Reporter.intensity.6.P_LF2	Reporter.intensity.7.P_LF1	Reporter.intensity.7.P_LF2	Reporter.intensity.8.P_LF1	Reporter.intensity.8.P_LF2	Reporter.intensity.9.P_LF1	Reporter.intensity.9.P_LF2
5572.10089739564	5907.52593330843	5231.98570840577	5439.38207464272	5374.27784793802	4676.9591846295	5349.00095641669	5199.67595674336	5179.07186469414	5062.8317936136	5391.366039264	5177.32914542161	5095.01148486703	4993.79048190309	4505.14068924221	4831.0078187324	4717.36112313491	4580.87867264074	4479.24644739953	4790.11497292561
4630.01459557996	8753.24088516116	4834.95127373062	8151.1258368182	5259.65424629552	7170.5163793183	6280.94066013897	7842.82175871186	5493.46382057205	7666.816181851	6730.32428077299	7814.07984288783	7141.82181393075	7578.01695492805	10785.7221174383	7368.64992107702	12489.337477827	7046.94000199314	13411.2701378589	7316.05455455868
14490.4958575702	6383.02080866003	18939.3600060755	13650.9817011214	20112.6490752312	17968.1441144252	23673.8305186859	19022.5268325006	27614.2914646626	30733.7307409531	31481.7812183883	35054.941172551	35251.9943810784	41790.9396817665	48226.6345507852	50006.3725910749	50090.3176841432	60402.0746073181	53092.5217953622	61063.9753688849
6850.3677450986	6462.31823806508	5499.77921892916	6932.28569446553	7903.57174275868	7438.81234166361	7641.93084546496	8228.23248903562	9955.88096098423	9664.38671571789	8224.96192077995	9103.11209487571	8310.68374292233	8826.5881926822	9029.61617185823	8665.13745559606	9593.56424941156	9086.48028825082	11020.3416842831	9751.19673186021
5168.69423897925	8010.34530600595	5164.45897050183	8105.32706734685	7699.10596397191	7905.78536670721	8177.36880980971	8718.61533431285	9741.31623007672	9647.86400041198	10182.9604419547	10852.5056270999	11514.9403128539	11604.1954692117	16267.8105899677	12239.5874434049	12804.4484690834	12233.4447937995	16321.6283725468	14073.0455827598
8845.04931066561	4435.34364717378	8350.84059092269	6126.45995724051	8557.60000180512	7542.47762168272	8520.87109171164	7794.91029997214	8273.95345443499	9001.03937375046	8582.43021648332	9083.34313232505	8151.80844580176	9899.77368116702	7294.68915164355	9693.67955878489	7603.05876385903	9995.2548986595	7257.06319278006	9754.98441619998
5572.10089739564	5907.52593330843	5231.98570840577	5439.38207464272	5374.27784793802	4676.9591846295	5349.00095641669	5199.67595674336	5179.07186469414	5062.8317936136	5391.366039264	5177.32914542161	5095.01148486703	4993.79048190309	4505.14068924221	4831.0078187324	4717.36112313491	4580.87867264074	4479.24644739953	4790.11497292561
23778.7973616055	20068.1334984269	15015.1288124563	16489.0390637952	17166.298546711	21388.9579841241	15579.9299826042	17682.0393250538	18587.3978415892	20061.1570857938	16971.5834335862	19297.253534243	16305.3356072744	16323.8473236009	15798.0774663276	16726.615460623	15848.6884058995	13469.0818676039	18920.5406321184	17468.0466235033
5706.21890253232	5809.11895130701	5372.71398949762	5541.51718917713	5512.24062387453	4850.68111011642	5487.45499894068	5303.05491583523	5320.82854769247	5212.60004439325	5528.99669930596	5624.54601471387	5238.40191527078	5361.58879191935	4659.99549660764	4912.26030023817	4868.09134072379	4723.02091660917	4634.60451980508	4824.91453413807
5941.33916702301	7821.94436674384	6438.53632028414	7471.24819043837	6895.71209425933	6821.20132700154	7386.68524312343	7027.05784612565	7067.56400646967	7783.57688091153	7635.14838732	7508.92693750769	7897.52951859544	8289.22289059836	10030.7030170424	8673.47255837063	9974.12990240949	8776.88287599956	10618.2999151842	9457.22811645396
