AT1G01090.1	243045.87108088098	273023.309445628	261233.474540147	292622.150928603	327038.830223082	333148.08781817433	369744.42678490095	390465.3576839975	403368.613653614	424311.167246113	462626.4678530366	486230.5443832524	475554.8845126107
AT1G01300.1	165219.07631035108	189411.881872087	169437.545480243	161417.635688247	179293.304917356	166405.97498477087	160465.08653070207	169859.7184588186	166830.29647025	181519.858550945	186353.51861971567	184370.39112478102	197751.45963071863
AT1G01350.1	41529.866672072116	39870.8936032292	50790.187458916	51183.7780172679	31755.405788743	50535.29140632496	52419.11610376065	59194.84995971479	60305.6449077176	62500.6414235578	59412.831240518004	59618.98677707972	59834.73142156043
AT1G01360.1	10219.401469957575	16201.1722824135	23328.5778916155	24622.1768075138	1720.96004743567	27035.86796507533	24190.349093289577	32352.781038464454	29480.7400156065	30821.3498271752	21370.473569116537	24781.433495141526	21998.056079158843
AT1G01610.1	36309.70672761336	48138.3387134495	44516.279066961	68071.590970953	47664.4376241284	72512.71033546275	80777.32376247772	92411.51434989698	88671.400066438	92332.5512017676	79317.72077979485	76532.23203201739	73607.68826490836
AT1G01650.1	21848.363350471518	27077.7668496568	29994.5011346498	30194.8705262391	8575.18853491802	33735.45680949538	30656.118526372593	38207.89441914861	33451.6375706	37829.8450773856	28319.94840938863	33009.926277201484	30718.229903362968
AT1G01710.1	85596.16352948337	85391.8735185726	89290.7461605423	82574.4609990134	71452.3914971578	80618.82342097751	77519.06685260037	79691.21939228516	75696.788704211	77656.6480108533	72738.39643954941	78829.79678236815	75286.66971771879
AT1G01725.1	18893.680322931603	21741.2867246017	29729.6288612323	29481.2376223569	9929.15996180705	32302.86292299853	28609.33475203047	36201.40430617341	34520.6513888088	33278.6336666523	26515.579252865893	28889.400223706674	27345.58183234313
AT1G01800.1	396016.89492808346	399162.638767551	403126.876467134	391495.625280702	457688.001480415	368066.31497720367	364571.35896997346	335213.04929742217	327555.08861795	342147.336062534	317811.86856850615	283647.5978471408	289946.0412360609
AT1G01820.1	30861.690132584874	27804.3619785005	37005.9026575822	41149.8580529988	16409.9595008723	37690.448358598165	39682.72481886858	43066.839305132045	41605.7375976742	42146.0081765354	36328.12134850444	39068.93717698173	40079.570725802165
AT1G01900.1	60437.83478584011	62154.8061050153	72864.1144581045	65325.3404483519	60834.5363549953	79844.7898665436	85154.85373909987	89672.10219550482	92779.2687015637	98896.103135222	104096.8076726574	103477.17545538675	108621.29011039808
AT1G01910.4	148946.6868934963	124690.418869057	132047.035046342	137415.394858326	134352.613415187	133136.06319578527	139456.04451224234	138415.7417504023	145793.615082345	140580.554272415	147707.9340321886	143792.11576261956	154480.74063696765
