AT1G01090.1	1122900.0	1109700.0	1118800.0	993990.0	899900.0
AT1G01120.1	24977.0	27857.0	25062.0	32427.0	24394.0
AT1G01300.1	945150.0	933110.0	888800.0	808990.0	581030.0
AT1G01350.1	119370.0	114600.0	117320.0	103150.0	91316.0
AT1G01360.1	3799.5	2171.0	2338.6	2306.3	2475.9
AT1G01600.1	1024.3	1563.2	2691.2	6253.4	6466.9
AT1G01610.1	813750.0	977040.0	1080500.0	1046400.0	802470.0
AT1G01650.1	15728.0	14611.0	13642.0	13235.0	14834.0
AT1G01710.1	102410.0	99285.0	112800.0	135540.0	165360.0
AT1G01725.1	0.0	0.0	0.0	0.0	0.0
AT1G01800.1	308100.0	308480.0	320250.0	319600.0	292610.0
AT1G01820.1	50275.0	50653.0	42086.0	37154.0	46193.0
AT1G01900.1	180730.0	188400.0	183580.0	186110.0	176800.0
AT1G01910.4	162110.0	150600.0	140780.0	148770.0	201680.0
AT1G01930.1	101370.0	102660.0	96917.0	91006.0	84204.0
AT1G01940.1	97984.0	94375.0	92918.0	75300.0	63663.0
AT1G01960.1	1009600.0	1018200.0	1094000.0	1027500.0	979340.0
AT1G01980.1	7714.9	5173.0	5089.7	3200.1	3094.2
AT1G02000.1	8385.0	8217.8	7891.2	8209.5	7099.7
AT1G02090.1	213740.0	195020.0	162130.0	84159.0	98685.0
AT1G02130.1	165380.0	145530.0	118660.0	129680.0	184810.0
AT1G02140.1	309340.0	322460.0	370950.0	326400.0	298800.0
AT1G02150.1	80446.0	88341.0	81006.0	68995.0	55777.0
AT1G02170.1	39626.0	36330.0	34156.0	33501.0	35559.0
AT1G02305.1	177120.0	175410.0	180320.0	218660.0	238660.0
AT1G02330.1	166870.0	159860.0	157350.0	95588.0	69164.0
AT1G02560.1	371560.0	349200.0	320100.0	276350.0	340630.0
AT1G02680.1	6247.6	8200.3	5384.7	4470.7	3387.9
AT1G02730.1	38066.0	37181.0	30667.0	25206.0	23359.0
AT1G02740.1	33815.0	27568.0	27836.0	21830.0	18073.0
AT1G02780.1	1953300.0	1634900.0	1342900.0	1032300.0	839550.0
AT1G02790.1	315980.0	223740.0	165460.0	105390.0	58682.0
AT1G02840.1	557930.0	456740.0	425900.0	324460.0	239100.0
AT1G02870.1	63821.0	50858.0	43087.0	28581.0	22614.0
AT1G02910.1	59947.0	59294.0	55681.0	44401.0	46373.0
AT1G03000.1	95739.0	94192.0	99376.0	94711.0	101660.0
AT1G03090.2	141760.0	145490.0	149940.0	159460.0	180540.0
AT1G03110.1	96828.0	103720.0	101190.0	82100.0	68411.0
AT1G03130.1	20911.0	32950.0	43227.0	66365.0	64895.0
AT1G03140.1	126160.0	118810.0	119080.0	70871.0	56983.0
AT1G03150.1	16419.0	15158.0	14842.0	14908.0	16400.0
AT1G03190.2	72224.0	68211.0	71203.0	67109.0	66336.0
AT1G03210.1	14954.0	15280.0	14278.0	13609.0	14166.0
AT1G03220.1	74982.0	68966.0	63363.0	68736.0	100930.0
AT1G03270.1	13792.0	10610.0	10025.0	10124.0	11912.0
AT1G03310.2	93873.0	94982.0	94342.0	109110.0	118320.0
AT1G03330.1	35583.0	37608.0	39335.0	29049.0	41506.0
AT1G03360.1	36583.0	34145.0	32461.0	25950.0	26612.0
AT1G03430.1	21603.0	16753.0	15390.0	14592.0	14287.0
AT1G03475.1	838120.0	856480.0	876840.0	830020.0	748580.0
AT1G03495.1	0.0	0.0	0.0	0.0	0.0
AT1G03530.1	16274.0	15579.0	13076.0	9887.2	10959.0
AT1G03590.1	55759.0	50791.0	52536.0	46366.0	39049.0
AT1G03600.1	377640.0	387350.0	382530.0	312470.0	423890.0
AT1G03680.1	274700.0	303300.0	357170.0	422300.0	548240.0
AT1G03760.1	102570.0	101590.0	95951.0	86763.0	85865.0
AT1G03880.1	298130.0	291900.0	277550.0	275020.0	278660.0
AT1G03950.1	19939.0	19153.0	19077.0	17126.0	20184.0
AT1G04110.1	118100.0	129670.0	127200.0	102000.0	78030.0
AT1G04130.1	149060.0	149730.0	144560.0	103750.0	96566.0
AT1G04190.1	319620.0	284040.0	287280.0	211440.0	183800.0
AT1G04220.1	109230.0	94403.0	93861.0	84886.0	95024.0
AT1G04260.1	16698.0	23641.0	25534.0	26498.0	29114.0
AT1G04410.1	1481800.0	1509900.0	1567000.0	1673400.0	1657000.0
AT1G04420.1	79820.0	82253.0	78883.0	88106.0	135230.0
AT1G04520.1	33695.0	26826.0	23225.0	20293.0	17175.0
AT1G04580.1	367260.0	360090.0	335990.0	390190.0	567480.0
AT1G04620.1	64199.0	63333.0	66437.0	53235.0	52004.0
AT1G04630.1	228600.0	224580.0	200790.0	120370.0	126880.0
AT1G04640.2	16184.0	15798.0	16628.0	18817.0	18449.0
AT1G04660.1	41919.0	40399.0	36512.0	34829.0	42360.0
AT1G04690.1	623170.0	592310.0	539250.0	469520.0	596690.0
AT1G04710.1	59825.0	68237.0	68854.0	76638.0	76672.0
AT1G04730.1	43950.0	40882.0	42290.0	27386.0	22849.0
AT1G04750.1	1063000.0	929890.0	929690.0	940230.0	990450.0
AT1G04810.1	195270.0	183130.0	162150.0	162680.0	193060.0
AT1G50010.1	5503600.0	5624800.0	5302000.0	5249600.0	4908500.0
AT1G04850.1	297990.0	282580.0	299480.0	277710.0	261230.0
AT1G04860.1	113230.0	114490.0	108780.0	117230.0	114920.0
AT1G04870.2	182380.0	176240.0	169910.0	146610.0	135330.0
AT1G04920.1	23273.0	18761.0	17565.0	12980.0	11969.0
