AT1G04640.2	20913.0	21776.0	26676.0	31507.0	26202.0	25072.0
AT1G04660.1	2376.2	1965.1	1926.9	2042.9	2603.1	1513.5
AT1G04690.1	299270.0	283880.0	294190.0	258580.0	249480.0	251590.0
AT1G04710.1	13977.0	17041.0	16859.0	20229.0	21879.0	20711.0
AT1G04730.1	6876.8	6598.5	5753.5	4240.5	3592.4	3961.9
AT1G04750.1	232320.0	226040.0	211540.0	216250.0	228710.0	219940.0
AT1G04810.1	69206.0	67666.0	70723.0	68418.0	66121.0	64588.0
AT1G50010.1	1961800.0	1996600.0	1788600.0	1737700.0	1441100.0	1269400.0
AT1G04850.1	72380.0	83445.0	80898.0	62989.0	73443.0	67834.0
AT1G04860.1	25804.0	27981.0	28453.0	26553.0	23826.0	24071.0
AT1G04870.2	7192.7	6443.2	7265.1	6311.5	5804.4	6127.2
AT1G04880.1	10306.0	21075.0	17269.0	10666.0	9938.4	8098.4
AT1G04920.1	27508.0	29289.0	27818.0	66953.0	61629.0	50673.0
AT1G04950.3	35471.0	33969.0	33082.0	29822.0	24219.0	22585.0
AT1G04970.1	18437.0	21519.0	24971.0	26720.0	25395.0	31096.0
AT1G04980.1	76035.0	115650.0	134170.0	119250.0	95994.0	88911.0
AT1G05010.1	17715.0	19046.0	20490.0	15025.0	18758.0	30190.0
AT1G05055.1	5579.0	6209.2	6947.9	5540.1	5045.3	5511.2
AT1G05070.1	35292.0	33934.0	34918.0	33004.0	33550.0	33977.0
AT1G05180.1	144760.0	146330.0	154350.0	129920.0	113840.0	112870.0
AT1G05190.1	231410.0	273930.0	310160.0	234700.0	216270.0	215920.0
AT1G05310.1	1112.2	1620.9	1588.6	1933.5	1619.2	1860.9
AT1G05350.1	90976.0	85918.0	93823.0	104880.0	90717.0	87396.0
AT1G05440.1	7666.8	9188.7	12566.0	9386.8	4610.4	5720.2
AT1G05500.1	89568.0	105370.0	116240.0	107160.0	93693.0	94972.0
AT1G05520.1	83695.0	84253.0	85504.0	104090.0	94885.0	87337.0
AT1G05560.1	48107.0	61179.0	81477.0	80938.0	68003.0	78565.0
AT1G05760.1	2232.2	2922.3	3220.4	3303.0	4900.1	4382.6
AT1G05835.1	22532.0	14335.0	10800.0	8929.2	7089.4	6814.2
AT1G05910.1	79985.0	70823.0	73295.0	58982.0	54731.0	55144.0
AT1G06030.1	3610.0	16857.0	11250.0	3742.5	2874.6	2511.0
AT1G06210.1	19512.0	19147.0	20914.0	16756.0	24745.0	21664.0
AT1G06290.1	126110.0	152100.0	184620.0	213690.0	203400.0	193530.0
AT1G06400.1	61669.0	54743.0	57136.0	49490.0	44012.0	48880.0
AT1G06520.1	1473.0	1620.7	1382.4	1796.5	2644.4	2325.9
AT1G06550.1	234300.0	217800.0	234010.0	302440.0	291970.0	278910.0
AT1G06560.1	40892.0	37695.0	38558.0	39728.0	31818.0	34155.0
AT1G06570.1	45690.0	54001.0	67930.0	86525.0	77354.0	86375.0
AT1G06590.1	45769.0	44748.0	42979.0	33939.0	32150.0	31636.0
AT1G06660.1	0.0	0.0	0.0	0.0	0.0	0.0
AT1G06730.1	7797.7	13025.0	9612.9	6116.0	5122.8	5906.5
AT1G06770.1	17582.0	16355.0	17904.0	14825.0	13916.0	13235.0
AT1G06820.1	20620.0	24283.0	28743.0	29726.0	27627.0	26584.0
AT1G06840.1	10442.0	10477.0	12836.0	14504.0	12886.0	13620.0
AT1G06950.1	482880.0	524040.0	598080.0	554050.0	421060.0	463570.0
AT1G07110.1	25229.0	28711.0	36062.0	46605.0	46083.0	42742.0
AT1G07140.1	270640.0	282250.0	315010.0	199620.0	280360.0	254120.0
AT2G30000.1	89462.0	71834.0	68285.0	59550.0	50718.0	53199.0
AT1G07180.1	8985.8	11140.0	13102.0	8271.5	7382.2	8957.7
AT1G07210.1	15113.0	13039.0	14744.0	12514.0	6676.2	9955.3
AT1G07230.1	28759.0	29378.0	33286.0	32067.0	36866.0	31472.0
AT1G07250.1	87894.0	116800.0	126640.0	127370.0	121810.0	121730.0
AT1G07350.1	0.0	0.0	0.0	0.0	0.0	0.0
AT1G07360.1	120010.0	115240.0	108380.0	88682.0	76639.0	82601.0
AT1G07370.1	501050.0	421110.0	412790.0	358990.0	270340.0	274120.0
AT1G07380.1	5584.9	6275.4	6207.4	8058.5	5901.3	7477.6
AT1G07410.1	1994.2	3355.8	4199.5	7318.6	7633.7	6268.7
AT1G07480.2	27462.0	26505.0	25020.0	16968.0	17360.0	16940.0
AT1G07530.1	20209.0	20872.0	24149.0	21125.0	17387.0	17673.0
AT1G07615.1	24053.0	22717.0	25420.0	24589.0	22181.0	22111.0
AT1G07645.1	4141.2	3605.8	3450.2	15288.0	17526.0	13433.0
AT1G07705.2	16423.0	15731.0	15230.0	14320.0	12183.0	11113.0
AT5G59850.1	288290.0	277150.0	279130.0	258280.0	203730.0	223310.0
AT1G07790.1	67768.0	42569.0	19974.0	6071.1	18290.0	17870.0
AT1G07830.1	60591.0	51950.0	52838.0	41812.0	39142.0	40130.0
AT1G07890.8	1088200.0	1278800.0	1253400.0	1430000.0	1310300.0	1278900.0
